Source Name,Type (News or CSO),"Regional Level (Regional, National, International)",NUTS (if applicable for regional offices),Description,Link,Independence Rating,Notes,Country,Wiki Source
Wiener Zeitung ,News,National,,Official publication used by the government.,https://www.wienerzeitung.at/,It aspires to be a liberal quality newspaper. How much political influence is exerted on the paper depends on the political party affiliation of the Secretary of State for Arts and Media.,,Austria,
Austria Press Agency,News,National,,Owned by the Austrian daily newspapers and the ORF and is predominantly focused on technology solutions for editorial and media operations or the communications industry. Since Spring 2005 a local edition has also been published in Styria.,https://apa.at/,,,Austria,
Der Falter,News,"Regional (Vienna, Styria)",AT1; AT2,,https://www.falter.at/,Labeled as centre-left.,,Austria,
Der Standard,News,"Both (Vienna, Styria, Upper Austria, Carinthia)",AT1; AT2: AT3,"Although Der Standard is intended to be a national paper, in the past it had an undeniable tendency to focus on Vienna. This has been mitigated by having editorial offices in other federal states (currently Styria, Upper Austria and Carinthia) and the introduction of regional sections. ",https://www.derstandard.at/,"It describes itself as liberal and politically independent, and is generally considered to be centre-left in orientation.",,Austria,
Die Furche,News,National (Vienna),AT1,,https://www.furche.at/,Has a liberal Catholic leaning.,,Austria,
Die Presse,News,National (Vienna),AT1,"Since 1999 it has been owned by the Styria Medien AG, a conservative-liberal media group founded by the Catholic Church.",https://www.diepresse.com/,"The political position of the ""Die Presse"" can be described as classical liberal, with a strong emphasis on free-market economy and small government, traditionally opposing Austria's grand coalition and its neocorporatist tendencies. ",,Austria,
Oberösterreichische Nachrichten,News,Regional (Linz),AT3,,https://www.nachrichten.at/,Has an independent political leaning.,,Austria,
Kleine Zeitung,News,"Regional (Steirmark, Kärnten and Osttirol)",AT2; AT3,,https://www.kleinezeitung.at/,It's completely owned by the Styria Media Group which has close ties to the Church. ,,Austria,
Salzburger Nachrichten,News,Regional (Salzburg),AT3,,https://www.sn.at/,SN undertook to promote a Christian and liberal world view in its editorial policy statement. It is family-owned.,,Austria,
Profil,News,National (Vienna),AT1,,https://www.profil.at/oesterreich,In the mid-1980s it had an independent and liberal leaning. In the 2000s the magazine had a left liberal political stance.,,Austria,
Kurier,News,"Both (Vienna, Lower Austria, Burgenland, Upper Austria)",AT1; AT3,"It combines tabloid, magazine and newspaper content and sees itself as Austria's leading quality newspaper.",https://kurier.at/chronik/niederoesterreich,It's considered to have a liberal political orientation.,,Austria,
Datum,News,National (Vienna),AT1,,https://datum.at/,It is perceived as left-wing.,,Austria,
Kronen Zeitung,News,"National (Vienna, Burgenland)",AT1,Tabloid.,https://www.krone.at/,"Its position alternates between social democratic, conservative and yet often right-wing populist depending on the context. It focusses on shaping public opinion. ",,Austria,
Trend,News,National (Vienna),AT1,,http://www.trend.at/,Its standpoint is perceived as liberal.,,Austria,
Kitzbüheler Anzeiger,News,Regional (Kitzbühel),AT3,,https://www.kitzanzeiger.at/ ,,,Austria,
Niederösterreichische Nachrichten (NÖN),News,"Regional (Sankt Pölten, Lower Austria)",AT1,,https://www.noen.at/,,,Austria,
Tiroler Tageszeitung,News,Regional (Innsbruck),AT3,,https://www.tt.com/,"The paper is described as a conservative publication. However, the paper has no political affiliation and has an independent stance.",,Austria,
Vienna Times,News,National,,English based website.,https://www.viennatimes.com/,,,Austria,
Vorarlberg ,News,Regional (Vorarlberg),AT3,,https://www.vol.at/,,,Austria,
Vorarlberger Nachrichten,News,Regional (Vorarlberg),AT3,,https://www.vn.at/,,,Austria,
WN24,News,Regional (Wiener Neustadt),AT1,,https://www.wn24.at/wissen,,,Austria,
MeinBezirk,News,"Regional (Carinthia, Styria)",AT2 ,,https://www.meinbezirk.at/kaernten,,,Austria,
ORF,News,"Both (Burgenland, Carinthia, Lower Austria, Upper Austria, Salzburg, Styria, Tyrol, Vorarlberg, Vienna)",AT1; AT2; AT3,,https://oesterreich.orf.at/,,,Austria,
ORF Steiermark,News,Regional (Styria),AT2,,https://steiermark.orf.at/,,,Austria,
Salzburg24,News,Regional (Salzburg),AT3,,https://www.salzburg24.at/,,,Austria,
Trends-Tendances ,News,Regional (Brussels),BE1,,https://trends.levif.be/,It's characterized as having liberal political leaning. ,,Belgium,
Le Vif,News,Regional (Brussels),BE1,,https://www.levif.be/,"Le Vif/L'Express adopts a ""neutral"" political stance. Labeled as centre-left.",,Belgium,
L'Avenir ,News,"Regional (Namur/Dinant, Basse Sambre, Entre-Sambre and Meuse, Brabant, Luxembourg, Verviers, de Huy-Waremme, Tournai, Mouscron)",BE3,,https://www.lavenir.net/,Labeled as liberal.,,Belgium,
La Libre Belgique,News,National (Brussels),BE1; BE2; BE3,,https://www.lalibre.be/, Labeled as liberal.,,Belgium,
La Dernière Heure,News,"Regional (Namur/Luxembourg, Liège, Tournai/Ath/Mouscron, Mons Center, Charleroi Center, Brabant, Brussels). ",BE1; BE3,,https://www.eurotopics.net/en/148662/la-dernire-heure,Labeled as liberal.,,Belgium,
Knack,News,Regional (Brussels),BE1,,https://www.knack.be/,Labeled as left-wing in its political orientation.,,Belgium,
VRT NWS,News,National (Brussels),BE1; BE2; BE3,,https://www.vrt.be/vrtnws/nl/,,,Belgium,
Dewereldmorgen,News,National (Antwerp),BE2,,https://www.dewereldmorgen.be/,Labeled as independent.,,Belgium,
De Standaard,News,Regional (Brussels),BE1,,https://www.standaard.be/,Labeled as liberal-conservative.,,Belgium,
De Morgen,News,Regional (Antwerp),BE2,,https://www.demorgen.be/,Labeled as left-wing.,,Belgium,
